Date,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,week
2019-03-29,5266,56,2051,3587,,,,,14853,,5033,176,,,,,5056,9554,,,,,금
2019-03-30,6522,11807,2202,905,,4065,47,,3929,,8115,255,4572,,,5991,2893,84,,,,,토
2019-03-31,2147,30,3120,65,,292,4500,,4930,,6257,2993,4851,,,2566,8742,2769,,,,,일
2019-04-01,,,11048,4291,,9419,7522,7384,6255,,5597,10026,6657,,,8633,7815,4227,8137,13055,7815,9785,월
2019-04-02,,,8663,3139,309,7490,6164,6409,11409,10121,7484,13700,6211,6655,6709,6978,7349,3249,15151,15486,7625,8496,화
2019-04-03,,,7914,2299,5892,3540,7800,8074,11295,12124,7447,10255,6070,4370,11149,7196,6037,3698,8087,12456,8156,9302,수
2019-04-04,,,12426,3619,5151,5042,7978,12046,4644,6677,10627,588,10270,5459,5866,8185,10295,3927,7054,11549,12548,10842,목
2019-04-05,,,7609,1878,160,6305,1924,5881,7250,12334,5492,9135,7792,5237,7912,6591,3141,4090,7687,8551,9754,8950,금
2019-04-06,,,2209,5923,294,2737,1588,179,6892,11026,11396,6196,4789,7231,10328,3362,2372,5523,7564,7545,6133,7048,토
2019-04-07,,,6908,1176,2463,7595,7280,2148,2752,5157,11184,14100,5373,5893,9827,2222,2837,4870,9473,6458,7564,6836,일
2019-04-08,,,8364,6332,6895,5187,5532,7370,7208,10186,8632,8907,6419,,,9519,,4407,8843,14032,9576,9475,월
2019-04-09,,,4778,4833,4873,4260,5156,6119,8195,8676,9713,10853,7457,,,4958,,1815,8493,13845,8564,9429,화
2019-04-10,,,10312,5749,5208,6479,6415,8970,6623,9101,9578,9392,9492,,,8302,,4106,8129,13020,8320,9965,수
2019-04-11,,,6598,4785,208,4921,3278,,,6292,7064,2109,7128,,,7745,,4660,6629,12008,12543,9341,목
2019-04-12,,,10632,6120,2838,4612,6335,,,8735,9765,,5551,,,,,6248,7830,7734,10321,11329,금
2019-04-13,,,,2323,103,811,,,,6169,6806,,,,,,,,,,,,토
2019-04-14,,,,,2140,5676,,,,2091,12320,,,,,,,,,,,,일
2019-04-15,,,,,11433,7201,,,,4700,5307,,,,,,,,,,,,월
2019-04-16,,,,,4976,3753,,,,7346,7976,,,,,,,,,,,,화
2019-04-17,,,,,12040,13629,,,,,6468,,,,,,,,,,,,수
2019-04-18,,,,,3643,1542,,,,,10155,,,,,,,,,,,,목
2019-04-19,,,,,910,8572,,,,,5614,,,,,,,,,,,,금
2019-04-20,,,,,475,3574,,,,,7230,,,,,,,,,,,,토
2019-04-21,,,,,4594,9869,,,,,10789,,,,,,,,,,,,일
2019-04-22,,,,,9264,10452,,,,,4747,,,,,,,,,,,,월
2019-04-23,,,,,3839,11576,,,,,8647,,,,,,,,,,,,화
2019-04-24,,,,,5251,3980,,,,,8361,,,,,,,,,,,,수
2019-04-25,,,,,8600,6014,,,,,7263,,,,,,,,,,,,목
2019-04-26,,,,,314,5658,,,,,,,,,,,,,,,,,금
2019-04-27,,,,,,1784,,,,,,,,,,,,,,,,,토
2019-04-28,,,,,,7129,,,,,,,,,,,,,,,,,일
