Var1,Freq,id
강남구,11,0
강동구,6,1
강북구,5,2
강서구,1,3
관악구,5,4
광진구,6,5
구로구,1,6
금천구,2,7
노원구,1,8
도봉구,1,9
동대문구,4,10
동작구,1,11
마포구,11,12
서대문구,7,13
서초구,7,14
성동구,4,15
성북구,5,16
송파구,4,17
양천구,11,18
영등포구,6,19
용산구,7,20
은평구,4,21
종로구,44,22
중구,38,23
중랑구,1,24
