"","id","value"
"1","id1",0.293888506234594
"2","id2",0.0722969921725004
"3","id3",0.0914075333451716
"4","id4",0.148603794840603
"5","id5",0.219038323458442
"6","id6",0.204284670389223
"7","id7",0.13699249298769
"8","id8",-0.146613003382458
"9","id9",-0.212191121270286
"10","id10",-0.643033037852934
"11","id11",-0.0340798778646678
"12","id12",0.347689800285873
"13","id13",0.302320891496459
"14","id14",0.2370546180468
"15","id15",0.382265777035001
"16","id16",0.1561353112588
"17","id17",-0.0983889561356817
"18","id18",-0.0679273866997481
"19","id19",-0.38520119475994
"20","id20",-0.250403692882324
"21","id21",0.345397756943979
"22","id22",0.225220442989185
